task_response_id;match_id;evaluator_id;player_id;potential_label
5579;63556;151191;1802610;average
5579;63556;151191;1802715;average
5579;63556;151191;1803337;average
5579;63556;151191;1804579;average
5579;63556;151191;1804938;average
5579;63556;151191;1805970;average
5579;63556;151191;1842381;average
5587;64045;256441;1355710;average
5587;64045;256441;1358222;average
5587;64045;256441;1361061;highlighted
5587;64045;256441;1361626;average
5587;64045;256441;1361858;average
5587;64045;256441;1364951;highlighted
5587;64045;256441;1369055;average
5587;64045;256441;1369060;average
5587;64045;256441;1369065;average
5587;64045;256441;1369066;average
5587;64045;256441;1370976;average
5618;61923;151191;1717975;highlighted
5618;61923;151191;1717976;average
5618;61923;151191;1717977;average
5618;61923;151191;1717978;average
5618;61923;151191;1717979;average
5618;61923;151191;1717980;average
5618;61923;151191;1717981;average
5618;61923;151191;1717982;average
5618;61923;151191;1717983;average
5618;61923;151191;1717984;average
5618;61923;151191;1717985;average
5621;63556;151191;1796907;average
5621;63556;151191;1798357;highlighted
5621;63556;151191;1800816;average
5621;63556;151191;1804937;highlighted
5621;63556;151191;1804942;average
5621;63556;151191;1805608;average
5621;63556;151191;1805824;average
5621;63556;151191;1835286;average
5621;63556;151191;1840906;average
5621;63556;151191;1841791;highlighted
5621;63556;151191;1863235;average
5639;63696;130478;1367211;average
5639;63696;130478;1370134;average
5639;63696;130478;1370141;average
5639;63696;130478;1370152;average
5639;63696;130478;1370183;average
5639;63696;130478;1370186;average
5639;63696;130478;1370191;average
5639;63696;130478;1370195;average
5639;63696;130478;1370237;below_average
5639;63696;130478;1450931;average
5639;63696;130478;1465837;average
5639;63696;130478;1501964;average
5642;63032;151191;1361549;average
5642;63032;151191;1363266;average
5642;63032;151191;1363422;average
5642;63032;151191;1367185;highlighted
5642;63032;151191;1367734;average
5642;63032;151191;1367778;average
5642;63032;151191;1367783;highlighted
5642;63032;151191;1369525;average
5642;63032;151191;1369546;average
5642;63032;151191;1605952;average
5642;63032;151191;1909728;highlighted
